net,epoch,model,avg_psnr,avg_ssim
net3,0,DehazeNet_epoch0.pth,18.932971440681502,0.8276143447384512
net3,1,DehazeNet_epoch1.pth,19.357532131676244,0.8466618057388828
net3,2,DehazeNet_epoch2.pth,19.494304320272764,0.8541024847700819
net3,3,DehazeNet_epoch3.pth,19.425256014858288,0.8579831238328
net3,4,DehazeNet_epoch4.pth,19.4106579482866,0.8612300852570147
net3,5,DehazeNet_epoch5.pth,19.584941684624365,0.8632665657130588
net3,6,DehazeNet_epoch6.pth,19.456309663494636,0.8616349948927259
net3,7,DehazeNet_epoch7.pth,19.606590470101406,0.8644630886209372
net3,8,DehazeNet_epoch8.pth,19.577041328706667,0.8637693372715628
net3,9,DehazeNet_epoch9.pth,19.692036742541493,0.8660698177795404
net3,10,DehazeNet_epoch10.pth,19.709667665869397,0.8627259815065175
net3,11,DehazeNet_epoch11.pth,19.642135062596704,0.8664148757063417
net3,12,DehazeNet_epoch12.pth,19.840353645442953,0.8649215493034466
net3,13,DehazeNet_epoch13.pth,19.786581425055203,0.8654911366352521
net3,14,DehazeNet_epoch14.pth,19.69008959576377,0.8663392513841341
net3,15,DehazeNet_epoch15.pth,19.766661360068934,0.8656402801565029
net3,16,DehazeNet_epoch16.pth,19.7294466675499,0.8640711564507314
net3,17,DehazeNet_epoch17.pth,19.687876964366847,0.867811074869837
net3,18,DehazeNet_epoch18.pth,19.64098807684292,0.8661279165673232
net3,19,DehazeNet_epoch19.pth,19.726273263309537,0.8680216840164945
net3,20,DehazeNet_epoch20.pth,19.639370505166838,0.867419903260066
net3,21,DehazeNet_epoch21.pth,19.873036063394277,0.8663905468254178
net3,22,DehazeNet_epoch22.pth,19.648389221315885,0.8677092991737018
net3,23,DehazeNet_epoch23.pth,19.618796044271125,0.8675989168272212
net3,24,DehazeNet_epoch24.pth,19.842532705000842,0.8673989844942299
net3,25,DehazeNet_epoch25.pth,19.66195812048985,0.8683658800410525
net3,26,DehazeNet_epoch26.pth,19.600819005415804,0.8664935461558195
net3,27,DehazeNet_epoch27.pth,19.787841804412214,0.8691182765276204
net3,28,DehazeNet_epoch28.pth,19.73231744017764,0.8692628207128021
net3,29,DehazeNet_epoch29.pth,19.671371206603244,0.8685965806931486
net3,30,DehazeNet_epoch30.pth,19.757067055330804,0.869682767741797
net3,31,DehazeNet_epoch31.pth,19.732565189541674,0.8688532646774013
net3,32,DehazeNet_epoch32.pth,19.75046126236881,0.8690213143189536
net3,33,DehazeNet_epoch33.pth,19.795479736637432,0.868590694769258
net3,34,DehazeNet_epoch34.pth,19.856558564474856,0.8698951607646446
net3,35,DehazeNet_epoch35.pth,19.816190390871903,0.8694032904266238
net3,36,DehazeNet_epoch36.pth,19.78158051733553,0.8649695543258656
net3,37,DehazeNet_epoch37.pth,19.826972036021182,0.8703509087998218
net3,38,DehazeNet_epoch38.pth,19.61324713599345,0.8679958395796563
net3,39,DehazeNet_epoch39.pth,19.690797244736427,0.8698435022994732
net3,40,DehazeNet_epoch40.pth,19.80978247843461,0.8701971981099305
net3,41,DehazeNet_epoch41.pth,19.68577157670062,0.86979409957894
net3,42,DehazeNet_epoch42.pth,19.923656638840857,0.8685715859951517
net3,43,DehazeNet_epoch43.pth,19.814529500518937,0.870784292313686
net3,44,DehazeNet_epoch44.pth,19.71435835188736,0.8707163070551194
net3,45,DehazeNet_epoch45.pth,19.884534402586738,0.8713830100293556
net3,46,DehazeNet_epoch46.pth,19.90448912802425,0.8694133263860158
net3,47,DehazeNet_epoch47.pth,19.927914618718365,0.8711967987790032
net3,48,DehazeNet_epoch48.pth,19.947276558089616,0.8701627864842416
net3,49,DehazeNet_epoch49.pth,19.885268951029264,0.8708492159624821
net3,50,DehazeNet_epoch50.pth,19.87691969233627,0.8705372325417676
net3,51,DehazeNet_epoch51.pth,19.9793239282327,0.8706979302514907
net3,52,DehazeNet_epoch52.pth,19.869415318476538,0.8716376006662866
net3,53,DehazeNet_epoch53.pth,19.75293715457649,0.8701821302882669
net3,54,DehazeNet_epoch54.pth,19.922045904821147,0.8717126970729974
net3,55,DehazeNet_epoch55.pth,20.01544560428418,0.8684404229632852
net3,56,DehazeNet_epoch56.pth,19.931594277034968,0.8711697306880238
net3,57,DehazeNet_epoch57.pth,19.9659172038747,0.8697811423957089
net3,58,DehazeNet_epoch58.pth,19.814310668038193,0.871299571973477
net3,59,DehazeNet_epoch59.pth,19.975793107467144,0.8710674977314476
net3,60,DehazeNet_epoch60.pth,19.865290539872397,0.8715353771502592
net3,61,DehazeNet_epoch61.pth,19.32837388672682,0.8545774398703859
net3,62,DehazeNet_epoch62.pth,19.927856368123134,0.8706187424897432
net3,63,DehazeNet_epoch63.pth,19.83055044783982,0.8715695781523325
net3,64,DehazeNet_epoch64.pth,19.831643174761712,0.869716661031662
net3,65,DehazeNet_epoch65.pth,19.28673088744429,0.8574205098866859
net3,66,DehazeNet_epoch66.pth,20.035228656223673,0.8700433378419943
net3,67,DehazeNet_epoch67.pth,19.834671776962658,0.8712269347701401
net3,68,DehazeNet_epoch68.pth,19.930267828487704,0.8718677788982792
net3,69,DehazeNet_epoch69.pth,19.980035148980306,0.8669970766350841
net3,70,DehazeNet_epoch70.pth,19.683294617770763,0.8699875608528801
net3,71,DehazeNet_epoch71.pth,19.870174207361178,0.8696819330680844
net3,72,DehazeNet_epoch72.pth,19.94256265978046,0.8678153177009658
net3,73,DehazeNet_epoch73.pth,19.629226512566884,0.8687619236597581
net3,74,DehazeNet_epoch74.pth,19.64287479477138,0.8695996247974782
net3,75,DehazeNet_epoch75.pth,19.981670226669458,0.8709457931259387
net3,76,DehazeNet_epoch76.pth,19.9034557346035,0.8714500207350866
net3,77,DehazeNet_epoch77.pth,19.87625674208289,0.8717198225210889
net3,78,DehazeNet_epoch78.pth,19.95169943876567,0.8721227990901244
net3,79,DehazeNet_epoch79.pth,19.854787724950533,0.8712937920222326
net3,80,DehazeNet_epoch80.pth,20.032889716312045,0.8719734310924947
net3,81,DehazeNet_epoch81.pth,19.813872419047073,0.8708779469316266
net3,82,DehazeNet_epoch82.pth,19.6808281479323,0.8663082882518488
net3,83,DehazeNet_epoch83.pth,19.966858359621792,0.8725964278728018
net3,84,DehazeNet_epoch84.pth,20.06964849534288,0.8688494654725734
net3,85,DehazeNet_epoch85.pth,20.043109327658573,0.8715969229308952
net3,86,DehazeNet_epoch86.pth,19.7334718521035,0.8647809723946761
net3,87,DehazeNet_epoch87.pth,19.892406609234257,0.8719282514773118
net3,88,DehazeNet_epoch88.pth,19.926044031272056,0.87261498408661
