net,epoch,model,avg_psnr,avg_ssim
net2,86,DehazeNet_epoch86.pth,18.75577183729381,0.8820376634597779
net2,87,DehazeNet_epoch87.pth,19.072370550580313,0.8805106189250946
net2,88,DehazeNet_epoch88.pth,18.80178400157908,0.8810672082901001
net2,89,DehazeNet_epoch89.pth,18.869297994600238,0.8815722348690033
net2,90,DehazeNet_epoch90.pth,18.822910333741675,0.8833929414749145
net2,91,DehazeNet_epoch91.pth,18.900446583848964,0.8790846670866013
net2,92,DehazeNet_epoch92.pth,18.883249139604168,0.8818527946472168
net2,93,DehazeNet_epoch93.pth,18.923120648079294,0.8834129508733749
net2,94,DehazeNet_epoch94.pth,18.93014376258395,0.8835415402650834
net2,95,DehazeNet_epoch95.pth,18.97374676033298,0.8799676252603531
net2,96,DehazeNet_epoch96.pth,18.763406309735362,0.8816253681182862
net2,97,DehazeNet_epoch97.pth,19.02869277345199,0.880132274389267
net2,98,DehazeNet_epoch98.pth,18.868791080494827,0.8800319485664367
net2,99,DehazeNet_epoch99.pth,18.899073649963064,0.8816402057409286
net2,100,DehazeNet_epoch100.pth,18.823849486793,0.8824491037130355
net2,101,DehazeNet_epoch101.pth,19.003427701754582,0.8817701469659806
net2,102,DehazeNet_epoch102.pth,18.708997618259772,0.8787183389663696
net2,103,DehazeNet_epoch103.pth,18.882542092135658,0.8795186561346054
net2,104,DehazeNet_epoch104.pth,19.068665819879186,0.8815199464559555
net2,105,DehazeNet_epoch105.pth,19.082756321551507,0.8816173230409622
net2,106,DehazeNet_epoch106.pth,18.89113663217551,0.8782531837224961
net2,107,DehazeNet_epoch107.pth,19.042037595961396,0.8814391965866089
net2,108,DehazeNet_epoch108.pth,19.01114073509086,0.8834148027896881
net2,109,DehazeNet_epoch109.pth,19.015746191561252,0.8830446894168854
net2,110,DehazeNet_epoch110.pth,18.93132177562602,0.8829433896541595
net2,111,DehazeNet_epoch111.pth,18.982728217853474,0.8813970943689347
net2,112,DehazeNet_epoch112.pth,19.022941898076393,0.8825169858932496
net2,113,DehazeNet_epoch113.pth,18.892031168829604,0.8771772538423538
net2,114,DehazeNet_epoch114.pth,18.94432010956591,0.8834580265283585
net2,115,DehazeNet_epoch115.pth,18.691307969990845,0.8775736881494522
net2,116,DehazeNet_epoch116.pth,18.82039169932638,0.8833864048719406
net2,117,DehazeNet_epoch117.pth,19.009109196377175,0.8843676857948303
net2,118,DehazeNet_epoch118.pth,19.11375922433226,0.8832417749166489
net2,119,DehazeNet_epoch119.pth,18.967051282607425,0.883178571820259
net2,120,DehazeNet_epoch120.pth,18.992988244308872,0.8828628005981445
net2,121,DehazeNet_epoch121.pth,19.020007519896176,0.881500960111618
net2,122,DehazeNet_epoch122.pth,18.89759311398272,0.8822990970611573
net2,123,DehazeNet_epoch123.pth,18.692536695050908,0.8797747740745544
net2,124,DehazeNet_epoch124.pth,18.799857569964086,0.8819416981935501
