net,epoch,model,avg_psnr,avg_ssim
net2,0,DehazeNet_epoch0.pth,16.762141819883894,0.6091636931216037
net2,1,DehazeNet_epoch1.pth,19.013213277879558,0.8189334514382126
net2,2,DehazeNet_epoch2.pth,19.18262540346541,0.8428504361404671
net2,3,DehazeNet_epoch3.pth,19.086805675154807,0.851705420094806
net2,4,DehazeNet_epoch4.pth,19.22954822021701,0.8567804200751884
net2,5,DehazeNet_epoch5.pth,19.225446353578217,0.860322133825348
net2,6,DehazeNet_epoch6.pth,19.264244142763527,0.8612270741849333
net2,7,DehazeNet_epoch7.pth,19.216101406650694,0.857099132196562
net2,8,DehazeNet_epoch8.pth,19.205084532075336,0.8646276775184456
net2,9,DehazeNet_epoch9.pth,19.433047127223904,0.8642711576458451
net2,10,DehazeNet_epoch10.pth,19.05505332170838,0.865082613489888
net2,11,DehazeNet_epoch11.pth,19.49546528126145,0.8618524154206296
net2,12,DehazeNet_epoch12.pth,19.387826101763622,0.8667059572967323
net2,13,DehazeNet_epoch13.pth,19.318724099615043,0.8671108625672601
net2,14,DehazeNet_epoch14.pth,19.170542995040947,0.8644434111015694
net2,15,DehazeNet_epoch15.pth,19.344661383212323,0.8639718994304344
net2,16,DehazeNet_epoch16.pth,19.444988810530674,0.8677643086757507
net2,17,DehazeNet_epoch17.pth,19.474443492700814,0.8639477418290006
net2,18,DehazeNet_epoch18.pth,19.376932807197527,0.8684762027468886
net2,19,DehazeNet_epoch19.pth,19.38040075507856,0.8695394108304987
net2,20,DehazeNet_epoch20.pth,19.124399482950228,0.8682567670240298
net2,21,DehazeNet_epoch21.pth,19.456966491822914,0.8679803673987154
net2,22,DehazeNet_epoch22.pth,19.28261008820087,0.8703439202275243
net2,23,DehazeNet_epoch23.pth,19.48787234005787,0.8669278637186304
net2,24,DehazeNet_epoch24.pth,19.46923460217168,0.8681221783638478
net2,25,DehazeNet_epoch25.pth,19.405408930471665,0.8629905635172183
net2,26,DehazeNet_epoch26.pth,19.4555218470872,0.8709443994649537
net2,27,DehazeNet_epoch27.pth,19.484954557372888,0.8662838692123348
net2,28,DehazeNet_epoch28.pth,19.316445257880176,0.8704597277266605
net2,29,DehazeNet_epoch29.pth,19.335786442080277,0.8715398476288483
net2,30,DehazeNet_epoch30.pth,19.5696979237392,0.8688571626717622
net2,31,DehazeNet_epoch31.pth,19.420165343850755,0.8721986384959789
net2,32,DehazeNet_epoch32.pth,19.3793373931544,0.8704693546822598
net2,33,DehazeNet_epoch33.pth,19.189969220201732,0.8713332396429461
net2,34,DehazeNet_epoch34.pth,19.357920225759383,0.8700923889248937
net2,35,DehazeNet_epoch35.pth,19.47532535257591,0.8731283918396011
net2,36,DehazeNet_epoch36.pth,19.47598821080324,0.8727645099879027
net2,37,DehazeNet_epoch37.pth,18.9517091729554,0.8648330794798361
net2,38,DehazeNet_epoch38.pth,19.436786979056713,0.8710298412912959
net2,39,DehazeNet_epoch39.pth,19.600598018577493,0.8669376124192525
net2,40,DehazeNet_epoch40.pth,19.44543169373252,0.8725582364502851
net2,41,DehazeNet_epoch41.pth,19.432883064475696,0.8718967744717011
net2,42,DehazeNet_epoch42.pth,19.53231783662683,0.8688949488543414
net2,43,DehazeNet_epoch43.pth,19.426232776635274,0.8727142050698236
net2,44,DehazeNet_epoch44.pth,19.484239730406692,0.8716118776046478
net2,45,DehazeNet_epoch45.pth,19.34721039596845,0.8725705236882657
net2,46,DehazeNet_epoch46.pth,19.418867119079795,0.873570757823902
net2,47,DehazeNet_epoch47.pth,19.603136490867016,0.8702904890488099
net2,48,DehazeNet_epoch48.pth,19.51722394193764,0.8734301331642274
net2,49,DehazeNet_epoch49.pth,19.49785699979404,0.8739911912678479
net2,50,DehazeNet_epoch50.pth,19.595576402301027,0.8698486636529814
net2,51,DehazeNet_epoch51.pth,19.217752607786352,0.8707528979749651
net2,52,DehazeNet_epoch52.pth,19.456767261596514,0.8735174963006506
net2,53,DehazeNet_epoch53.pth,19.28529752708318,0.871352587972914
net2,54,DehazeNet_epoch54.pth,19.591477603707197,0.8723011615577044
net2,55,DehazeNet_epoch55.pth,19.2129270445862,0.8701935598740468
