net,epoch,model,avg_psnr,avg_ssim
net2,0,DehazeNet_epoch0.pth,17.029776713407333,0.6049981401955616
net2,1,DehazeNet_epoch1.pth,19.370711802886706,0.8181877131659255
net2,2,DehazeNet_epoch2.pth,19.587329717833594,0.8426458812745741
net2,3,DehazeNet_epoch3.pth,19.505662442871945,0.8519110918124543
net2,4,DehazeNet_epoch4.pth,19.64725257099645,0.8567878701321957
net2,5,DehazeNet_epoch5.pth,19.650691013234017,0.8606339327769901
net2,6,DehazeNet_epoch6.pth,19.68738904395406,0.8614296768756261
net2,7,DehazeNet_epoch7.pth,19.628015309067337,0.858322383593066
net2,8,DehazeNet_epoch8.pth,19.620841799541555,0.8648923777389145
net2,9,DehazeNet_epoch9.pth,19.837182097903913,0.864558576553732
net2,10,DehazeNet_epoch10.pth,19.473046041760735,0.8654685917100178
net2,11,DehazeNet_epoch11.pth,19.85989078918127,0.8621066962432448
net2,12,DehazeNet_epoch12.pth,19.795925672998226,0.8668569045668644
net2,13,DehazeNet_epoch13.pth,19.74095257428983,0.8675759915373015
net2,14,DehazeNet_epoch14.pth,19.592539937113422,0.8654141082152321
net2,15,DehazeNet_epoch15.pth,19.73096092608862,0.8645106038179903
net2,16,DehazeNet_epoch16.pth,19.855816000506337,0.868134217953515
net2,17,DehazeNet_epoch17.pth,19.850858305083875,0.864117375221917
net2,18,DehazeNet_epoch18.pth,19.780636627687127,0.8686323636728511
net2,19,DehazeNet_epoch19.pth,19.792977865188515,0.869699962221014
net2,20,DehazeNet_epoch20.pth,19.546376101173344,0.8688773233400022
net2,21,DehazeNet_epoch21.pth,19.857711673003408,0.8687473259476194
net2,22,DehazeNet_epoch22.pth,19.70428805192573,0.8706521475243545
net2,23,DehazeNet_epoch23.pth,19.87394529256613,0.867522652942604
net2,24,DehazeNet_epoch24.pth,19.8581305564833,0.8682131939885933
net2,25,DehazeNet_epoch25.pth,19.785490219152038,0.8631620521086699
net2,26,DehazeNet_epoch26.pth,19.865780291179327,0.8711171345279073
net2,27,DehazeNet_epoch27.pth,19.868025291376785,0.866428051433312
net2,28,DehazeNet_epoch28.pth,19.728838225804445,0.8709504639418691
net2,29,DehazeNet_epoch29.pth,19.754193537165612,0.8718323294283271
net2,30,DehazeNet_epoch30.pth,19.94439251994653,0.8689957545792591
net2,31,DehazeNet_epoch31.pth,19.82762446539875,0.8723724298216415
net2,32,DehazeNet_epoch32.pth,19.787121484836245,0.8710036668013477
net2,33,DehazeNet_epoch33.pth,19.608369925073063,0.8717841805617544
net2,34,DehazeNet_epoch34.pth,19.760579066874975,0.8707154968274597
net2,35,DehazeNet_epoch35.pth,19.890591777205994,0.8734484301503002
net2,36,DehazeNet_epoch36.pth,19.883545078315667,0.8729581528005699
net2,37,DehazeNet_epoch37.pth,19.36745919158908,0.8659439984561206
net2,38,DehazeNet_epoch38.pth,19.83695534419308,0.871489092672853
net2,39,DehazeNet_epoch39.pth,19.946756403907504,0.8672451048383875
net2,40,DehazeNet_epoch40.pth,19.849328191236697,0.8726731713969297
net2,41,DehazeNet_epoch41.pth,19.83525868411565,0.8720057255210539
net2,42,DehazeNet_epoch42.pth,19.921312296892886,0.8690444039737991
net2,43,DehazeNet_epoch43.pth,19.837234563962394,0.8729313635138441
net2,44,DehazeNet_epoch44.pth,19.8823319896089,0.871777778051026
net2,45,DehazeNet_epoch45.pth,19.767231080687317,0.8733646460635219
net2,46,DehazeNet_epoch46.pth,19.82904046651127,0.8738969588784545
net2,47,DehazeNet_epoch47.pth,19.983498801130665,0.870548132867883
net2,48,DehazeNet_epoch48.pth,19.922201771238058,0.8737119156525667
net2,49,DehazeNet_epoch49.pth,19.90354149831306,0.8742671258034568
net2,50,DehazeNet_epoch50.pth,19.967624737311542,0.8701200509973668
net2,51,DehazeNet_epoch51.pth,19.632084537122584,0.8715960350323614
net2,52,DehazeNet_epoch52.pth,19.864951230112354,0.8738876281876928
net2,53,DehazeNet_epoch53.pth,19.70393521512703,0.8722603784258582
net2,54,DehazeNet_epoch54.pth,19.98189110923644,0.8729339369279856
net2,55,DehazeNet_epoch55.pth,19.634642862622897,0.8712852604789072
net2,56,DehazeNet_epoch56.pth,19.56453936873741,0.8719130520941457
net2,57,DehazeNet_epoch57.pth,19.932748532399394,0.8739016022074815
net2,58,DehazeNet_epoch58.pth,19.841539197432812,0.8746662940848625
net2,59,DehazeNet_epoch59.pth,19.957273309647128,0.8724581972485027
net2,60,DehazeNet_epoch60.pth,19.979635536048654,0.8740572180597732
net2,61,DehazeNet_epoch61.pth,19.839648848082483,0.8745380175256777
net2,62,DehazeNet_epoch62.pth,19.842492805444063,0.873529487697233
net2,63,DehazeNet_epoch63.pth,19.82598245268833,0.8707830013832119
net2,64,DehazeNet_epoch64.pth,19.91468564929781,0.8742267479098372
net2,65,DehazeNet_epoch65.pth,19.921727059202592,0.8732947864883063
net2,66,DehazeNet_epoch66.pth,19.964977058320947,0.8716600833435224
net2,67,DehazeNet_epoch67.pth,19.82688471226665,0.8744219621347165
net2,68,DehazeNet_epoch68.pth,19.84449393091669,0.8734026625081673
net2,69,DehazeNet_epoch69.pth,19.641900408893726,0.873473395811156
net2,70,DehazeNet_epoch70.pth,20.01082422282819,0.8693620930536066
net2,71,DehazeNet_epoch71.pth,19.928909348128926,0.8746447635615178
net2,72,DehazeNet_epoch72.pth,19.960918621295765,0.8744101574636373
net2,73,DehazeNet_epoch73.pth,19.939017285422214,0.8736789816218481
net2,74,DehazeNet_epoch74.pth,19.708030059782722,0.8731286299351892
net2,75,DehazeNet_epoch75.pth,20.017277964572735,0.8740451457839125
net2,76,DehazeNet_epoch76.pth,19.927779796601328,0.8735785133920538
net2,77,DehazeNet_epoch77.pth,19.794103442613583,0.8757034018958716
net2,78,DehazeNet_epoch78.pth,19.925050245926023,0.8658460936235484
net2,79,DehazeNet_epoch79.pth,19.938926258948925,0.8667680707403961
net2,80,DehazeNet_epoch80.pth,19.787021384334974,0.8756125767793843
net2,81,DehazeNet_epoch81.pth,19.984924504695005,0.8738132776737849
