net,epoch,model,avg_psnr,avg_ssim
net1,98,DehazeNet_epoch98.pth,19.879834127372696,0.8763008157524835
net1,99,DehazeNet_epoch99.pth,19.912492610857065,0.8766600273576884
net1,100,DehazeNet_epoch100.pth,19.958566999515842,0.8755131059684289
net1,101,DehazeNet_epoch101.pth,19.903289108346282,0.8766210699586242
net1,102,DehazeNet_epoch102.pth,19.98823610995056,0.8756309577865417
net1,103,DehazeNet_epoch103.pth,19.982143607702707,0.8748271269733089
net1,104,DehazeNet_epoch104.pth,19.92115463910637,0.8762610824694829
net1,105,DehazeNet_epoch105.pth,19.971550994927043,0.8761498041354088
net1,106,DehazeNet_epoch106.pth,19.332940591912735,0.8683766593095182
net1,107,DehazeNet_epoch107.pth,19.891746034305992,0.8767201569168597
net1,108,DehazeNet_epoch108.pth,19.923572519150028,0.8762527243738851
net1,109,DehazeNet_epoch109.pth,19.85944172675754,0.8765482241986552
net1,110,DehazeNet_epoch110.pth,19.88025063184812,0.8760026104452611
net1,111,DehazeNet_epoch111.pth,19.65135081873055,0.8745631557895804
net1,112,DehazeNet_epoch112.pth,19.968861783457506,0.8762395295670685
net1,113,DehazeNet_epoch113.pth,20.028442384430196,0.8733204692433222
net1,114,DehazeNet_epoch114.pth,20.015724392450963,0.8751972662424715
net1,115,DehazeNet_epoch115.pth,19.850116318279625,0.8763819596953454
net1,116,DehazeNet_epoch116.pth,19.861126858874616,0.8761686093014612
net1,117,DehazeNet_epoch117.pth,19.976008107298057,0.8769483240634929
net1,118,DehazeNet_epoch118.pth,19.864469089044245,0.8765907268418436
net1,119,DehazeNet_epoch119.pth,19.954119737692462,0.876479708520362
net1,120,DehazeNet_epoch120.pth,19.88309911781543,0.876503026616617
net1,121,DehazeNet_epoch121.pth,19.771652896560894,0.8758053203331069
net1,122,DehazeNet_epoch122.pth,19.82073097027344,0.8761515686236926
net1,123,DehazeNet_epoch123.pth,20.008618984551163,0.8762987247901426
net1,124,DehazeNet_epoch124.pth,19.9685696114117,0.871001661936813
