net,model,avg_psnr,avg_ssim
net1,DehazeNet_epoch0.pth,18.79798457622806,0.8656816424441612
net1,record-DehazeNet_epoch30.pth,18.82702041347954,0.8606343243785589
net1,DehazeNet_epoch99.pth,19.388905799393758,0.8652947818768609
net1,DehazeNet_epoch92.pth,19.268548220351335,0.8648350495050625
net1,DehazeNet_epoch100.pth,19.3125331441198,0.864698312240791
net1,DehazeNet_epoch197.pth,19.358370295319506,0.8647406812421798
net1,DehazeNet_epoch54.pth,19.301245636109588,0.8645922891571739
net1,DehazeNet_epoch33.pth,19.00696501539684,0.8739075511847213
net1,DehazeNet_epoch94.pth,19.285174827408156,0.863013682545166
net1,DehazeNet_epoch154.pth,19.600018516970696,0.8656923597169706
net1,DehazeNet_epoch180.pth,19.26366224928087,0.8594549382433783
net1,DehazeNet_epoch73.pth,19.188566489394027,0.8586057651555045
net1,DehazeNet_epoch77.pth,19.234739874777254,0.8600300626524799
net1,DehazeNet_epoch90.pth,19.515171062921848,0.8675238312870391
net1,DehazeNet_epoch39.pth,19.23661595808432,0.8755663081770377
net1,DehazeNet_epoch182.pth,19.447976276074918,0.8619570544274766
net1,DehazeNet_epoch101.pth,19.34591436848286,0.8633762859934158
net1,DehazeNet_epoch89.pth,19.385725344274643,0.8605710662265452
net1,DehazeNet_epoch41.pth,19.264893911949205,0.8752555197976432
net1,DehazeNet_epoch116.pth,19.30598855623742,0.8638613738306727
net1,DehazeNet_epoch195.pth,19.164646921108204,0.8560151705844172
net1,DehazeNet_epoch122.pth,19.473495343648917,0.8688353523197498
net1,DehazeNet_epoch97.pth,19.227386912142098,0.8622676113597416
net1,DehazeNet_epoch9.pth,19.098889374558087,0.8756182839228103
net1,DehazeNet_epoch82.pth,19.376336762896905,0.8634910373532616
net1,DehazeNet_epoch48.pth,19.30359606008779,0.8692518028817522
net1,DehazeNet_epoch103.pth,19.40761078581017,0.8652526567922475
net1,DehazeNet_epoch136.pth,19.273178748654022,0.8615793448736059
net1,DehazeNet_epoch26.pth,18.942176794882258,0.8678965280504428
net1,DehazeNet_epoch148.pth,19.296910371981014,0.862030001822018
net1,DehazeNet_epoch146.pth,19.466125335676306,0.8652944796623129
net1,DehazeNet_epoch45.pth,19.24728819865463,0.8725924908104765
net1,DehazeNet_epoch161.pth,19.36162598156995,0.8659673383612195
net1,DehazeNet_epoch196.pth,19.48668055720754,0.8651431625196001
net1,DehazeNet_epoch1.pth,18.908516602524116,0.8678599540780445
net1,DehazeNet_epoch84.pth,19.380750023456923,0.865801526741902
net1,DehazeNet_epoch31.pth,19.118014941979933,0.874705636295012
net1,DehazeNet_epoch15.pth,19.029911500574364,0.8709952613624024
net1,DehazeNet_epoch47.pth,19.1010283669988,0.8661581151450273
net1,DehazeNet_epoch49.pth,19.19060945669835,0.8683343040188826
net1,DehazeNet_epoch68.pth,19.25936127180507,0.8591071536282032
net1,DehazeNet_epoch5.pth,18.80084311047298,0.8703244507121473
net1,DehazeNet_epoch156.pth,19.425503474260353,0.8657679239847724
net1,DehazeNet_epoch50.pth,19.02411816527116,0.8618429906566274
net1,DehazeNet_epoch128.pth,19.286818014967373,0.8597674808431521
net1,DehazeNet_epoch76.pth,19.26329918758187,0.8613397477919797
net1,DehazeNet_epoch88.pth,19.332815731793268,0.8639193716158207
net1,DehazeNet_epoch105.pth,19.38467201150036,0.8664272841699711
net1,DehazeNet_epoch120.pth,19.483700354811994,0.8653584397193881
net1,DehazeNet_epoch2.pth,18.96471503751561,0.8667647187769475
net1,DehazeNet_epoch17.pth,19.151201940074174,0.8754146436953187
net1,DehazeNet_epoch14.pth,19.16249072357676,0.8744131580395421
net1,DehazeNet_epoch34.pth,18.963094598259897,0.8741769401849512
net1,DehazeNet_epoch20.pth,19.127847753202577,0.8753562620139749
net1,DehazeNet_epoch38.pth,18.96350333454065,0.8695031864946797
net1,DehazeNet_epoch176.pth,19.313882177288832,0.8612323264270585
net1,DehazeNet_epoch118.pth,19.118184212221724,0.8561553962047462
net1,DehazeNet_epoch110.pth,19.409557597433462,0.8635817376356407
net1,DehazeNet_epoch134.pth,19.258978659218446,0.864425110729328
net1,DehazeNet_epoch143.pth,19.46664641003161,0.8679315945111794
net1,DehazeNet_epoch114.pth,19.531332173139745,0.8651758518996776
